line,trip,hour,num_val,output_escalator_count,output_doors_count,output_turnstile_count,input_turnstile_total_bandwidth,input_turnstile_count,input_doors_count,entry_id,year,month,day,cluster
МИНИМЕТРО,Выставочная - Выставочная,1.0,7.0,0.0,0.0,0.0,5.0,5.0,4.0,5.0,2023,5,25,2
АРБАТСК-ПОКРОВСК,Семёновская - Семёновская,1.0,5.0,0.0,5.0,10.0,5.0,5.0,4.0,5.0,2023,4,9,2
БКЛ,Каширская - Каширская,1.0,3.0,1.0,4.0,6.0,10.0,10.0,6.0,2.0,2023,3,26,2
АРБАТСК-ПОКРОВСК,Крылатское - Крылатское,19.0,1001.0,0.0,4.0,5.0,8.0,8.0,4.0,4.0,2023,2,27,0
СЕРПУХОВ-ТИМИРЯЗ,Чертановская - Чертановская,20.0,550.0,0.0,4.0,5.0,7.0,7.0,4.0,2.0,2023,6,25,0
КОЛЬЦЕВАЯ,Курская КЛ - Курская КЛ,9.0,1375.0,0.0,2.0,2.0,9.0,9.0,2.0,10.0,2023,4,26,0
АРБАТСК-ПОКРОВСК,Кунцевская АПЛ - Кунцевская АПЛ,1.0,3.0,0.0,2.0,3.0,5.0,5.0,3.0,3.0,2023,2,24,2
ЛЮБЛИНСКАЯ,Борисово - Борисово,17.0,262.0,0.0,4.0,6.0,7.0,7.0,4.0,13.0,2023,8,15,1
МЦК,Коптево МЦК - Коптево МЦК,22.0,141.0,,,,,,,,2023,2,25,0
ФИЛЁВСКАЯ,Студенческая - Студенческая,19.0,401.0,0.0,6.0,5.0,5.0,5.0,3.0,5.0,2023,4,17,0
СЕРПУХОВ-ТИМИРЯЗ,Южная - Южная,20.0,434.0,0.0,4.0,5.0,8.0,8.0,4.0,2.0,2023,5,22,0
ЗАМОСКВОРЕЦКАЯ,Кантемировская - Кантемировская,21.0,401.0,0.0,4.0,5.0,10.0,10.0,4.0,1.0,2023,8,1,0
